"","species","decimalLatitude","decimalLongitude"
"119","Mesophyllum erubescens",-40.120533,"176.874583"
"120","Mesophyllum erubescens",-38.66,"178.11"
"121","Mesophyllum erubescens",-38.66,"178.11"
"122","Mesophyllum erubescens",-38.66,"178.11"
"123","Mesophyllum erubescens",-41.731467,"171.469633"
"124","Mesophyllum erubescens",-39.96565,"176.922133"
"125","Mesophyllum erubescens",-40.794383,"176.266767"
"126","Mesophyllum erubescens",-41.731467,"171.469633"
"127","Mesophyllum erubescens",-40.784,"172.961283"
"128","Mesophyllum erubescens",-43.571,"172.771833"
"129","Mesophyllum erubescens",-41.156917,"173.408283"
"130","Mesophyllum erubescens",-40.78085,"172.983167"
"131","Mesophyllum erubescens",-43.645767,"172.9997"
"132","Mesophyllum erubescens",-38.66,"178.11"
"133","Mesophyllum erubescens",-43.585,"172.773833"
"134","Mesophyllum erubescens",-40.784,"172.961283"
"135","Mesophyllum erubescens",-39.05,"173.983333"
"136","Mesophyllum erubescens",-40.794383,"176.266767"
"137","Mesophyllum erubescens",-41.731467,"171.469633"
"138","Mesophyllum erubescens",-43.623333,"172.723333"
"139","Mesophyllum erubescens",-41.731467,"171.469633"
"140","Mesophyllum erubescens",-41.156917,"173.408283"
"141","Mesophyllum erubescens",-40.787033,"172.95705"
"142","Mesophyllum erubescens",-41.156917,"173.408283"
"143","Mesophyllum erubescens",-41.731467,"171.469633"
"144","Mesophyllum erubescens",-41.156533,"173.4009"
"145","Mesophyllum erubescens",-41.731467,"171.469633"
"146","Mesophyllum erubescens",-41.731467,"171.469633"
"147","Mesophyllum erubescens",-40.790883,"172.95215"
"148","Mesophyllum erubescens",-43.621817,"172.779317"
"149","Mesophyllum erubescens",-40.790883,"172.95215"
"150","Mesophyllum erubescens",-41.156533,"173.4009"
"151","Mesophyllum erubescens",-40.784,"172.961283"
"152","Mesophyllum erubescens",-42.315,"171.273333"
"153","Mesophyllum erubescens",-42.315,"171.273333"
"154","Mesophyllum erubescens",-41.731467,"171.469633"
"155","Mesophyllum erubescens",-40.787033,"172.95705"
"156","Mesophyllum erubescens",-39.516667,"173.9"
"157","Mesophyllum erubescens",-39.05,"173.983333"
"158","Mesophyllum erubescens",-40.787033,"172.95705"
"159","Mesophyllum erubescens",-41.731467,"171.469633"
"160","Mesophyllum erubescens",-41.183333,"173.363333"
"161","Mesophyllum erubescens",-40.787033,"172.95705"
"162","Mesophyllum erubescens",-40.78085,"172.983167"
"163","Mesophyllum erubescens",-42.315,"171.273333"
"164","Mesophyllum erubescens",-42.315,"171.273333"
"165","Mesophyllum erubescens",-42.315,"171.273333"
"166","Mesophyllum erubescens",-42.315,"171.273333"
"167","Mesophyllum erubescens",-42.266667,"173.8"
"168","Mesophyllum erubescens",-40.790883,"172.95215"
"169","Mesophyllum erubescens",-42.315,"171.273333"
"170","Mesophyllum erubescens",-42.315,"171.273333"
"171","Mesophyllum erubescens",-42.315,"171.273333"
"172","Mesophyllum erubescens",-42.315,"171.273333"
"173","Mesophyllum erubescens",-42.031667,"171.365"
"174","Mesophyllum erubescens",-41.733333,"174.283333"
"175","Mesophyllum erubescens",-40.787033,"172.95705"
"176","Mesophyllum erubescens",-41.349167,"174.762667"
"177","Mesophyllum erubescens",-41.345,"174.821667"
"178","Mesophyllum erubescens",-41.349167,"174.762667"
"179","Mesophyllum erubescens",-40.790883,"172.95215"
"180","Mesophyllum erubescens",-41.349167,"174.762667"
"181","Mesophyllum erubescens",-39,"174.116667"
"182","Mesophyllum erubescens",-39.516667,"173.9"
"183","Mesophyllum erubescens",-40.78085,"172.983167"
"184","Mesophyllum erubescens",-41.349167,"174.762667"
"185","Mesophyllum erubescens",-39.516667,"173.9"
"186","Mesophyllum erubescens",-42.315,"171.273333"
"187","Mesophyllum erubescens",-36.833333,"175.166667"
"188","Mesophyllum erubescens",-41.345,"174.821667"
"189","Mesophyllum erubescens",-41.345,"174.821667"
"190","Mesophyllum erubescens",-41.331667,"174.831667"
"191","Mesophyllum erubescens",-40.85,"173.883333"
"192","Mesophyllum erubescens",-41.345,"174.821667"
"193","Mesophyllum erubescens",-41.349167,"174.762667"
"194","Mesophyllum erubescens",-41.345,"174.821667"
"195","Mesophyllum erubescens",-41.349167,"174.762667"
"196","Mesophyllum erubescens",-41.349167,"174.762667"
"197","Mesophyllum erubescens",-41.345,"174.821667"
"198","Mesophyllum erubescens",-39.516667,"173.9"
"199","Mesophyllum erubescens",-41.345,"174.821667"
"200","Mesophyllum erubescens",-34.417667,"173.051833"
"201","Mesophyllum erubescens",-41.350333,"174.766667"
"202","Mesophyllum erubescens",-41.733333,"174.283333"
"203","Mesophyllum erubescens",-41.345,"174.821667"
"204","Mesophyllum erubescens",-41.345,"174.821667"
"205","Mesophyllum erubescens",-42.515,"173.51"
"206","Mesophyllum erubescens",-36.601133,"175.549083"
"207","Mesophyllum erubescens",-37.672333,"178.753167"
"208","Mesophyllum erubescens",-38.596667,"178.2"
"209","Mesophyllum erubescens",-34.9355,"173.653833"
"210","Mesophyllum erubescens",-41.349167,"174.762667"
"211","Mesophyllum erubescens",-40.141667,"176.865833"
"212","Mesophyllum erubescens",-34.417667,"173.051833"
"213","Mesophyllum erubescens",-34.9355,"173.653833"
"214","Mesophyllum erubescens",-38.596667,"178.2"
"215","Mesophyllum erubescens",-43.941667,"-176.566667"
"216","Mesophyllum erubescens",-41.350333,"174.766667"
"217","Mesophyllum erubescens",-41.349167,"174.762667"
"218","Mesophyllum erubescens",-37.672333,"178.753167"
"219","Mesophyllum erubescens",-44.033333,"-176.333333"
"220","Mesophyllum erubescens",-44.018683,"-176.383083"
"221","Mesophyllum erubescens",-18.083333,"-38.6"
"222","Mesophyllum erubescens",-17.9625,"-38.695278"
"223","Mesophyllum erubescens",-17.9625,"-38.695278"
"224","Mesophyllum erubescens",-20.525278,"-29.310278"
"225","Mesophyllum erubescens",-3.815833,"-32.393333"
"226","Mesophyllum erubescens",-3.841111,"-32.3925"
"227","Mesophyllum erubescens",-12.966944,"-38.370278"
"228","Mesophyllum erubescens",NA,""
"229","Mesophyllum erubescens",NA,""
"230","Mesophyllum erubescens",NA,""
"231","Mesophyllum erubescens",NA,""
"232","Mesophyllum erubescens",NA,""
"233","Mesophyllum erubescens",0,"0.0"
"234","Mesophyllum erubescens",0,"0.0"
"235","Mesophyllum erubescens",0,"0.0"
"236","Mesophyllum erubescens",0,"0.0"
"237","Mesophyllum erubescens",0,"0.0"
"238","Mesophyllum erubescens",0,"0.0"
"239","Mesophyllum erubescens",-27.266667,"-48.366667"
"240","Mesophyllum erubescens",-27.266667,"-48.366667"
"241","Mesophyllum erubescens",NA,""
"242","Mesophyllum erubescens",-27.266667,"-48.366667"
"243","Mesophyllum erubescens",-3.566667,"-38.4"
"244","Mesophyllum erubescens",-20.5,"-29.316667"
"245","Mesophyllum erubescens",NA,""
"246","Mesophyllum erubescens",-24.466667,"-46.666667"
"247","Mesophyllum erubescens",-3.833333,"-32.416667"
"248","Mesophyllum erubescens",-27.266667,"-48.366667"
"249","Mesophyllum erubescens",-20.5,"-29.316667"
"250","Mesophyllum erubescens",-20.666667,"-40.366667"
"251","Mesophyllum erubescens",-20.5,"-29.316667"
"252","Mesophyllum erubescens",-24.466667,"-46.666667"
"253","Mesophyllum erubescens",-27.266667,"-48.366667"
"254","Mesophyllum erubescens",-27.266667,"-48.366667"
"255","Mesophyllum erubescens",-23.533333,"-45.016667"
"256","Mesophyllum erubescens",-20.666667,"-40.366667"
"257","Mesophyllum erubescens",-3.833333,"-32.416667"
"258","Mesophyllum erubescens",-20.5,"-29.316667"
"259","Mesophyllum erubescens",-20.5,"-29.316667"
"260","Mesophyllum erubescens",-20.666667,"-40.366667"
"261","Mesophyllum erubescens",-20.666667,"-44.4"
"262","Mesophyllum erubescens",NA,""
"263","Mesophyllum erubescens",NA,""
"264","Mesophyllum erubescens",-3.833333,"-32.416667"
"265","Mesophyllum erubescens",-20.666667,"-40.366667"
"266","Mesophyllum erubescens",NA,""
"267","Mesophyllum erubescens",-24.466667,"-46.666667"
"268","Mesophyllum erubescens",NA,""
"269","Mesophyllum erubescens",NA,""
"270","Mesophyllum erubescens",NA,""
"271","Mesophyllum erubescens",NA,""
"272","Mesophyllum erubescens",NA,""
"273","Mesophyllum erubescens",NA,""
"274","Mesophyllum erubescens",NA,""
"275","Mesophyllum erubescens",-11.833333,"96.85"
"276","Mesophyllum erubescens",NA,""
"277","Mesophyllum erubescens",NA,""
"278","Mesophyllum erubescens",NA,""
"279","Mesophyllum erubescens",NA,""
"280","Mesophyllum erubescens",NA,""
"281","Mesophyllum erubescens",NA,""
"282","Mesophyllum erubescens",NA,""
"283","Mesophyllum erubescens",NA,""
"284","Mesophyllum erubescens",NA,""
"285","Mesophyllum erubescens",NA,""
"286","Mesophyllum erubescens",NA,""
"287","Mesophyllum erubescens",NA,""
"288","Mesophyllum erubescens",NA,""
"289","Mesophyllum erubescens",NA,""
"290","Mesophyllum erubescens",NA,""
"291","Mesophyllum erubescens",-38.3,"144.6167"
"292","Mesophyllum erubescens",-38.3,"144.6167"
"293","Mesophyllum erubescens",-38.4167,"144.1667"
"294","Mesophyllum erubescens",-38.4167,"144.1667"
"295","Mesophyllum erubescens",-38.3667,"142.25"
"296","Mesophyllum erubescens",-14.6459,"145.4534"
"297","Mesophyllum erubescens",-14.6459,"145.4534"
"298","Mesophyllum erubescens",21.5576,"-157.856"
"299","Mesophyllum erubescens",20.9145,"-156.9"
"300","Mesophyllum erubescens",34.68,"138.2"
